description,nof_floor,garage,garden,backdoor,nof_bathroom,nof_room,h_id
"26 Clive St in Worcester, MA was built in 1946 with a total of 1002 sq ft. The current listing price for this property is 109900 with a per sq ft price of 109.68. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Corner of Clive and Wharton. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,74
"49 Eureka St in Worcester, MA was built in 1949 with a total of 996 sq ft. The current listing price for this property is 129999 with a per sq ft price of 130.52. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Webster Square Neigborhood Worcester, MA-. Directions: Mapquest or navigation device of choice. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,75
"11 Meena Drive in Worcester, MA was built in 2003 with a total of 1745 sq ft. The current listing price for this property is 214999 with a per sq ft price of 123.21. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Off Wester Street. Worcester/ Auburn line. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,76
"12 Hacker in Worcester, MA was built in 1850 with a total of 790 sq ft. The current listing price for this property is 89900 with a per sq ft price of 113.8. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Cambridge to Camp L/Southgate L/Hacker (Hacker is oneway). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,77
"19 Englewood in Worcester, MA was built in 1890 with a total of 2090 sq ft. The current listing price for this property is 159000 with a per sq ft price of 76.08. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Lovell to Englewood. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,10,78
"28-B Timrod Dr in Worcester, MA was built in 1984 with a total of 1155 sq ft. The current listing price for this property is 99900 with a per sq ft price of 86.49. The property has 2 floors, 10 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Goddard Memorial Dr. to Parsons Hill Dr. to Timrod Dr.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,79
"170 Brookline St in Worcester, MA was built in 2012 with a total of 1740 sq ft. The current listing price for this property is 259900 with a per sq ft price of 149.37. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rte 9 heading toward Cherry Valley, Brookline on the right, #170 almost at the end of road on right. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,80
"315 Wildwood Ave in Worcester, MA was built in 1987 with a total of 1056 sq ft. The current listing price for this property is 124900 with a per sq ft price of 118.28. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-South High. Directions: Main St towards Leicester to Apricot to Wildwood to end. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,4,81
"9 Sherer Trail in Worcester, MA was built in 2005 with a total of 1600 sq ft. The current listing price for this property is 179900 with a per sq ft price of 112.44. The property has 2 floors, 4 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: First to Forkey to Sherer trail. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,7,82
"340 Wildwood Ave in Worcester, MA was built in 1987 with a total of 1056 sq ft. The current listing price for this property is 149700 with a per sq ft price of 141.76. The property has 2 floors, 7 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Main to Appricot to Wildwood. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,4,83
"9 New York St in Worcester, MA was built in 1890 with a total of 1167 sq ft. The current listing price for this property is 135000 with a per sq ft price of 115.68. The property has 2 floors, 4 bedrooms, 2 bathrooms, and 1 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Fremont to New York St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,84
"73 TIMROD DRIVE in Worcester, MA was built in 1983 with a total of 1344 sq ft. The current listing price for this property is 184900 with a per sq ft price of 137.57. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: GODDARD MEMORIAL DR TO PARSON HILL TO TIMROD DRIVE. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,85
"35 Laurier St. in Worcester, MA was built in 1913 with a total of 1736 sq ft. The current listing price for this property is 145000 with a per sq ft price of 83.53. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-South. Directions: Park Ave. to Staffored St. to James St. to Ludlow St to Laurier St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,86
"32-B Timrod Dr in Worcester, MA was built in 1985 with a total of 990 sq ft. The current listing price for this property is 95000 with a per sq ft price of 95.96. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: mapquest. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,4,87
"7 Royal Rd in Worcester, MA was built in 1890 with a total of 2000 sq ft. The current listing price for this property is 179900 with a per sq ft price of 89.95. The property has 2 floors, 4 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Stafford or Oxford Street N to Heard Street to Royal Road. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,88
"64 Delawanda Dr in Worcester, MA was built in 1987 with a total of 1152 sq ft. The current listing price for this property is 199900 with a per sq ft price of 173.52. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-South High. Directions: Main St. to Sylvan St. quick rt on Tallawanda sharp left on Delawanda. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,89
"23 Cleveland Avenue in Worcester, MA was built in 1919 with a total of 2039 sq ft. The current listing price for this property is 149000 with a per sq ft price of 73.08. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-South. Directions: From Stafford St. Turn left onto Varnum St. Take the 1st left onto Cleveland Ave.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,9,90
"136 Heard Street in Worcester, MA was built in 1925 with a total of 1536 sq ft. The current listing price for this property is 110000 with a per sq ft price of 71.61. The property has 2 floors, 9 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Oxford St N to Heard St.. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,91
"21 Fielding St in Worcester, MA was built in 1991 with a total of 1418 sq ft. The current listing price for this property is 239500 with a per sq ft price of 168.9. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the Webster Square Neigborhood Worcester, MA-. Directions: Apricot to Clegg to Fielding. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,92
"103 Eureka St in Worcester, MA was built in 1946 with a total of 1358 sq ft. The current listing price for this property is 120000 with a per sq ft price of 88.37. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Stafford Street to Eureka St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,93
"17 Ludlow Street in Worcester, MA was built in 2003 with a total of 1500 sq ft. The current listing price for this property is 179900 with a per sq ft price of 119.93. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Stafford Street to Ludlow or Main Street to Ludlow. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,3,6,94
"3 Hobson Ave in Worcester, MA was built in 1890 with a total of 2050 sq ft. The current listing price for this property is 118900 with a per sq ft price of 58. The property has 2 floors, 6 bedrooms, 3 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: off Clive St or off Englewood Ave. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,8,95
"5 Vineyard St in Worcester, MA was built in 1913 with a total of 1211 sq ft. The current listing price for this property is 169900 with a per sq ft price of 140.3. The property has 2 floors, 8 bedrooms, 2 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Maywood to Vineyard. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,6,96
"60 Beaver Brook Parkway in Worcester, MA was built in 1920 with a total of 1002 sq ft. The current listing price for this property is 145900 with a per sq ft price of 145.61. The property has 2 floors, 6 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: May Street to Beaver Brook Pkwy (across from Big Y). Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,4,97
"70 Eureka St in Worcester, MA was built in 1929 with a total of 1788 sq ft. The current listing price for this property is 169900 with a per sq ft price of 95.02. The property has 2 floors, 4 bedrooms, 1 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rt. 9 to Eureka. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,8,98
"27 Lanark St in Worcester, MA was built in 1963 with a total of 1000 sq ft. The current listing price for this property is 129900 with a per sq ft price of 129.9. The property has 2 floors, 8 bedrooms, 1 bathrooms, and 0 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Stafford to Heard to Lanark St. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,1,5,99
"130 S Ludlow St in Worcester, MA was built in 1965 with a total of 1064 sq ft. The current listing price for this property is 159000 with a per sq ft price of 149.44. The property has 2 floors, 5 bedrooms, 1 bathrooms, and 1 parking spaces. The property is located in the Cherry Valley Neigborhood Worcester, MA-Doherty Mem. Directions: Exit 10 I-90(mass Pike),  MA-12 N/Southbridge St,  left Oxford St N, left Pinehurst Ave, S. Ludlow. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,5,100
"8 Eureka Ter in Worcester, MA was built in 1911 with a total of 1074 sq ft. The current listing price for this property is 119900 with a per sq ft price of 111.64. The property has 2 floors, 5 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Main Street to Eureka Terrace. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,101
"1 AVERY PATH in Worcester, MA was built in 2012 with a total of 1740 sq ft. The current listing price for this property is 257900 with a per sq ft price of 148.22. The property has 2 floors, 6 bedrooms, 2 bathrooms, and 2 parking spaces. The property is located in the  Neigborhood Worcester, MA-. Directions: Rte 9 heading toward Cherry Valley, Brookline on the right, #170 almost at the end of road on right. Please contact ysmn asn at abc@def.com if interested.",2,0x796573,0x796573,0x796573,2,6,102
